2017-11-10 07:40:00,6737,2017-11-10 07:29:02,2017-11-10 07:59:00,2,기상 ,제비원로 안기동 성창여고 입구 제비원 연미사 앞 1차로 안개 기상 -,128.7155053,36.5813498
2017-11-10 07:40:26,20171110074146,2017-11-10 07:40:26,,1,사고,[경부선]옥산(휴)부근(308K) (갓길) 소형화물차 고장처리중  고장,127.3737,36.6512
2017-11-10 07:40:29,20171110074618,2017-11-10 07:40:29,,0,공사,[경부선]금강(249K)-옥천1터널부근(251K) (2차로)배수시설 설치 작업중 2차로 차단  작업,127.665,36.2795
2017-11-10 07:41:31,20171110074306,2017-11-10 07:41:31,,0,공사,[익산장수선]장수부근(53K) (2차로) 시설물 설치 작업중 2차로 차단  작업,127.5369,35.7405
2017-11-10 07:42:01,6788,2017-11-10 07:39:02,2017-11-10 18:00:00,0,공사 ,운곡로 채운교 채운교차로 1차로 주의운전 도로공사 -,126.613783333568,36.8902211822913
2017-11-10 07:42:30,6792,2017-11-10 07:35:02,2017-11-10 18:00:00,0,공사 ,관호6길 김천 방면 성주 양방향 전체차로 관호오거리지점 도로공사 도로공사 -,128.38732153,36.00783907
2017-11-10 07:43:00,6799,2017-11-10 07:35:02,2017-11-10 18:00:00,0,공사 ,행신로 능곡사거리 행주고가 1차로 주의운전 도로공사 -,126.8236626,37.6157861
2017-11-10 07:43:05,20171110074546,2017-11-10 07:43:05,,0,공사,[중부선(대전통영)]남대전(204K) (진출로 갓길) 시설물 설치 작업중  작업,127.4735,36.2656
2017-11-10 07:43:31,6801,2017-11-10 07:34:02,2017-11-10 18:00:00,0,공사 ,무금로 중도교차로 양전교차로 2차로 주의운전 도로공사 -,127.4966443,36.1092504
2017-11-10 07:43:58,20171110074159,2017-11-10 07:43:58,,0,공사,[서울양양선]내촌(94K) (2차로)터널보수 작업중 2차로 차단  작업,128.1301,37.7883
2017-11-10 07:44:17,20171110074254,2017-11-10 07:44:17,,0,공사,[호남선]순천1터널부근(14K)-순천1터널(15K) (2차로) 노면 보수 작업중 2차로 차단  작업,127.0515,36.1953
2017-11-10 07:45:08,20171110074639,2017-11-10 07:45:08,,0,공사,[중부선(대전통영)]남대전(204K) (진출로 갓길) 시설물 설치 작업중  작업,127.4735,36.2656
2017-11-10 07:45:40,20171110074205,2017-11-10 07:45:40,,0,공사,[중부선(대전통영)]고성3터널부근(26K) (1차로)등기구 보수 작업중 1차로 차단  작업,128.2935,35.0353
2017-11-10 07:46:07,20171110074806,2017-11-10 07:46:07,,0,공사,[호남선]익산(185K)-익산(183K) (3,4차로) 노면 보수 작업중 3,4차로 차단  작업,127.1808,36.7696
2017-11-10 07:47:00,6859,2017-11-10 07:38:02,2017-11-10 18:00:00,0,공사 ,주산북로 주산 홍해마을 행안면 백석교 양방향 전체차로 도로공사 작업 도로공사 -,126.7065167,35.6949133
2017-11-10 07:47:24,20171110074341,2017-11-10 07:47:24,,0,공사,[중부선(대전통영)]고성부근(21K) (2차로)비탈면 보완 작업중 2차로 차단  작업,128.3392,35.0151
2017-11-10 07:47:25,20171110074446,2017-11-10 07:47:25,,0,공사,[영동선]원주부근(132K)-원주부근(128K) (1차로)차단 도로개량공사중 1차로 차단  작업,127.9664,37.4045
2017-11-10 07:48:28,20171110074820,2017-11-10 07:48:28,,0,공사,[중앙선]남원주부근(312K) (2차로)계단식옹벽설치작업중 2차로 차단  작업,127.9347,37.3206
